Waypoint,路線名稱,里程(公里),路線編號,總里程,里程,地標名稱,路線分段,分段第一行,分段第二行,緯度,經度,東距,北距
24.5K,雪山西稜,24.5,SM300,520,245,,林道起點-雪山西稜,林道起點(000)⇨雙溪前營地(115)⇨,廢棄工寮(170)⇨合流山登山口(212)➡大營地(260),24.348914,121.075918,257703,2693667
24.6K,雪山西稜,24.6,SM300,520,246,,林道起點-雪山西稜,林道起點(000)⇨雙溪前營地(115)⇨,廢棄工寮(170)⇨合流山登山口(212)➡大營地(260),24.349057,121.076626,257775,2693683
24.7K,雪山西稜,24.7,SM300,520,247,,林道起點-雪山西稜,林道起點(000)⇨雙溪前營地(115)⇨,廢棄工寮(170)⇨合流山登山口(212)➡大營地(260),24.349289,121.07742,257855,2693709
24.8K,雪山西稜,24.8,SM300,520,248,,林道起點-雪山西稜,林道起點(000)⇨雙溪前營地(115)⇨,廢棄工寮(170)⇨合流山登山口(212)➡大營地(260),24.350038,121.077534,257867,2693792
24.9K,雪山西稜,24.9,SM300,520,249,,林道起點-雪山西稜,林道起點(000)⇨雙溪前營地(115)⇨,廢棄工寮(170)⇨合流山登山口(212)➡大營地(260),24.350709,121.077977,257912,2693866
25.0K,雪山西稜,25,SM300,520,250,,林道起點-雪山西稜,林道起點(000)⇨雙溪前營地(115)⇨,廢棄工寮(170)⇨合流山登山口(212)➡大營地(260),24.351364,121.078301,257945,2693939
25.1K,雪山西稜,25.1,SM300,520,251,,林道起點-雪山西稜,林道起點(000)⇨雙溪前營地(115)⇨,廢棄工寮(170)⇨合流山登山口(212)➡大營地(260),24.352137,121.078609,257976,2694024
25.2K,雪山西稜,25.2,SM300,520,252,,林道起點-雪山西稜,林道起點(000)⇨雙溪前營地(115)⇨,廢棄工寮(170)⇨合流山登山口(212)➡大營地(260),24.3529,121.078789,257994,2694109
25.3K,雪山西稜,25.3,SM300,520,253,,林道起點-雪山西稜,林道起點(000)⇨雙溪前營地(115)⇨,廢棄工寮(170)⇨合流山登山口(212)➡大營地(260),24.353315,121.079293,258045,2694155
25.4K,雪山西稜,25.4,SM300,520,254,,林道起點-雪山西稜,林道起點(000)⇨雙溪前營地(115)⇨,廢棄工寮(170)⇨合流山登山口(212)➡大營地(260),24.352633,121.079508,258067,2694079
25.5K,雪山西稜,25.5,SM300,520,255,,林道起點-雪山西稜,林道起點(000)⇨雙溪前營地(115)⇨,廢棄工寮(170)⇨合流山登山口(212)➡大營地(260),24.352209,121.079796,258096,2694032
25.6K,雪山西稜,25.6,SM300,520,256,,林道起點-雪山西稜,林道起點(000)⇨雙溪前營地(115)⇨,廢棄工寮(170)⇨合流山登山口(212)➡大營地(260),24.351476,121.080147,258132,2693951
25.7K,雪山西稜,25.7,SM300,520,257,,林道起點-雪山西稜,林道起點(000)⇨雙溪前營地(115)⇨,廢棄工寮(170)⇨合流山登山口(212)➡大營地(260),24.350851,121.080576,258176,2693882
25.8K,雪山西稜,25.8,SM300,520,258,,林道起點-雪山西稜,林道起點(000)⇨雙溪前營地(115)⇨,廢棄工寮(170)⇨合流山登山口(212)➡大營地(260),24.350252,121.081082,258227,2693816
25.9K,雪山西稜,25.9,SM300,520,259,,林道起點-雪山西稜,林道起點(000)⇨雙溪前營地(115)⇨,廢棄工寮(170)⇨合流山登山口(212)➡大營地(260),24.349568,121.081403,258260,2693740
26.0K營地,雪山西稜,26,SM300,520,260,大營地,林道起點-雪山西稜,大營地(260)➡雪山西稜登山口(284)⇨,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.348845,121.081714,258291,2693660
26.1K,雪山西稜,26.1,SM300,520,261,,林道起點-雪山西稜,大營地(260)➡雪山西稜登山口(284)⇨,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.347978,121.081791,258299,2693564
26.2K,雪山西稜,26.2,SM300,520,262,,林道起點-雪山西稜,大營地(260)➡雪山西稜登山口(284)⇨,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.347164,121.081949,258315,2693474
26.3K,雪山西稜,26.3,SM300,520,263,,林道起點-雪山西稜,大營地(260)➡雪山西稜登山口(284)⇨,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.346346,121.081866,258307,2693383
26.4K,雪山西稜,26.4,SM300,520,264,,林道起點-雪山西稜,大營地(260)➡雪山西稜登山口(284)⇨,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.345475,121.081612,258281,2693287
26.5K,雪山西稜,26.5,SM300,520,265,,林道起點-雪山西稜,大營地(260)➡雪山西稜登山口(284)⇨,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.34488,121.082303,258351,2693221
26.6K,雪山西稜,26.6,SM300,520,266,,林道起點-雪山西稜,大營地(260)➡雪山西稜登山口(284)⇨,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.344253,121.082943,258416,2693152
26.7K,雪山西稜,26.7,SM300,520,267,,林道起點-雪山西稜,大營地(260)➡雪山西稜登山口(284)⇨,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.343983,121.083823,258505,2693122
26.8K,雪山西稜,26.8,SM300,520,268,,林道起點-雪山西稜,大營地(260)➡雪山西稜登山口(284)⇨,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.343793,121.084752,258600,2693101
26.9K,雪山西稜,26.9,SM300,520,269,,林道起點-雪山西稜,大營地(260)➡雪山西稜登山口(284)⇨,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.343102,121.08456,258580,2693024
27.0K,雪山西稜,27,SM300,520,270,,林道起點-雪山西稜,大營地(260)➡雪山西稜登山口(284)⇨,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.342326,121.08436,258560,2692938
27.1K,雪山西稜,27.1,SM300,520,271,,林道起點-雪山西稜,大營地(260)➡雪山西稜登山口(284)⇨,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.341545,121.084064,258530,2692852
27.2K,雪山西稜,27.2,SM300,520,272,,林道起點-雪山西稜,大營地(260)➡雪山西稜登山口(284)⇨,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.340913,121.084569,258581,2692782
27.3K,雪山西稜,27.3,SM300,520,273,,林道起點-雪山西稜,大營地(260)➡雪山西稜登山口(284)⇨,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.340811,121.085428,258669,2692770
27.4K,雪山西稜,27.4,SM300,520,274,,林道起點-雪山西稜,大營地(260)➡雪山西稜登山口(284)⇨,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.340757,121.086342,258761,2692765
27.5K,雪山西稜,27.5,SM300,520,275,,林道起點-雪山西稜,大營地(260)➡雪山西稜登山口(284)⇨,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.340487,121.087096,258838,2692735
27.6K,雪山西稜,27.6,SM300,520,276,,林道起點-雪山西稜,大營地(260)➡雪山西稜登山口(284)⇨,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.339693,121.087846,258914,2692647
27.7K,雪山西稜,27.7,SM300,520,277,,林道起點-雪山西稜,大營地(260)➡雪山西稜登山口(284)⇨,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.338928,121.088141,258944,2692562
27.8K,雪山西稜,27.8,SM300,520,278,,林道起點-雪山西稜,大營地(260)➡雪山西稜登山口(284)⇨,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.338118,121.087876,258917,2692472
27.9K,雪山西稜,27.9,SM300,520,279,,林道起點-雪山西稜,大營地(260)➡雪山西稜登山口(284)⇨,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.337547,121.088526,258983,2692409
28.0K營地,雪山西稜,28,SM300,520,280,,林道起點-雪山西稜,大營地(260)➡雪山西稜登山口(284)⇨,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.336968,121.089141,259046,2692345
28.1K,雪山西稜,28.1,SM300,520,281,,林道起點-雪山西稜,大營地(260)➡雪山西稜登山口(284)⇨,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.336347,121.089562,259088,2692276
28.2K,雪山西稜,28.2,SM300,520,282,,林道起點-雪山西稜,大營地(260)➡雪山西稜登山口(284)⇨,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.335697,121.089966,259129,2692204
28.3K,雪山西稜,28.3,SM300,520,283,,林道起點-雪山西稜,大營地(260)➡雪山西稜登山口(284)⇨,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.33505,121.090481,259182,2692133
28.4K登山口,雪山西稜,28.4,SM300,520,284,雪山西稜登山口,林道起點-雪山西稜,大營地(260)⇨雪山西稜登山口(284)➡,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.334281,121.090563,259190,2692048
溪澗水源/28.5K,雪山西稜,28.5,SM300,520,285,溪澗水源,,大營地(260)⇨雪山西稜登山口(284)➡,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.333462,121.09098,259232,2691957
28.6K,雪山西稜,28.6,SM300,520,286,,,大營地(260)⇨雪山西稜登山口(284)➡,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.332801,121.091289,259264,2691884
28.7K,雪山西稜,28.7,SM300,520,287,,,大營地(260)⇨雪山西稜登山口(284)➡,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.33212,121.09113,259248,2691808
28.8K,雪山西稜,28.8,SM300,520,288,,,大營地(260)⇨雪山西稜登山口(284)➡,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.331378,121.091366,259272,2691726
28.9K,雪山西稜,28.9,SM300,520,289,,,大營地(260)⇨雪山西稜登山口(284)➡,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.331495,121.092148,259351,2691739
29.0K,雪山西稜,29,SM300,520,290,,,大營地(260)⇨雪山西稜登山口(284)➡,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.330889,121.092836,259421,2691672
29.1K,雪山西稜,29.1,SM300,520,291,,,大營地(260)⇨雪山西稜登山口(284)➡,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.330517,121.093649,259503,2691631
29.2K,雪山西稜,29.2,SM300,520,292,,,大營地(260)⇨雪山西稜登山口(284)➡,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.330275,121.094331,259573,2691604
29.3K,雪山西稜,29.3,SM300,520,293,,,大營地(260)⇨雪山西稜登山口(284)➡,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.33073,121.095018,259642,2691655
29.4K,雪山西稜,29.4,SM300,520,294,,,大營地(260)⇨雪山西稜登山口(284)➡,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.330378,121.095712,259713,2691616
29.5K,雪山西稜,29.5,SM300,520,295,,,大營地(260)⇨雪山西稜登山口(284)➡,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.329753,121.096329,259776,2691547
29.6K,雪山西稜,29.6,SM300,520,296,,,大營地(260)⇨雪山西稜登山口(284)➡,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.329019,121.096912,259835,2691465
29.7K,雪山西稜,29.7,SM300,520,297,,,大營地(260)⇨雪山西稜登山口(284)➡,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.3286,121.097728,259918,2691419
29.8K,雪山西稜,29.8,SM300,520,298,,,大營地(260)⇨雪山西稜登山口(284)➡,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.327885,121.098108,259956,2691340
29.9K,雪山西稜,29.9,SM300,520,299,,,大營地(260)⇨雪山西稜登山口(284)➡,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.327111,121.098383,259984,2691254
大雪山之門/30.0K,雪山西稜,30,SM300,520,300,大雪山之門,,大營地(260)⇨雪山西稜登山口(284)➡,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.326577,121.099102,260057,2691195
30.1K,雪山西稜,30.1,SM300,520,301,,,大營地(260)⇨雪山西稜登山口(284)➡,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.325885,121.099534,260101,2691118
30.2K,雪山西稜,30.2,SM300,520,302,,,大營地(260)⇨雪山西稜登山口(284)➡,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.325663,121.100383,260187,2691094
30.3K,雪山西稜,30.3,SM300,520,303,,,大營地(260)⇨雪山西稜登山口(284)➡,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.325444,121.101253,260276,2691070
三岔路口營地/30.4K,雪山西稜,30.4,SM300,520,304,三岔路口營地,,大營地(260)⇨雪山西稜登山口(284)➡,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.325006,121.102022,260354,2691021
30.5K,雪山西稜,30.5,SM300,520,305,,,大營地(260)⇨雪山西稜登山口(284)➡,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.325742,121.1023,260382,2691103
30.6K,雪山西稜,30.6,SM300,520,306,,,大營地(260)⇨雪山西稜登山口(284)➡,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.326322,121.102778,260430,2691167
30.7K,雪山西稜,30.7,SM300,520,307,,,大營地(260)⇨雪山西稜登山口(284)➡,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.326678,121.103519,260505,2691206
30.8K,雪山西稜,30.8,SM300,520,308,,,大營地(260)⇨雪山西稜登山口(284)➡,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.32735,121.103905,260545,2691281
30.9K,雪山西稜,30.9,SM300,520,309,,,大營地(260)⇨雪山西稜登山口(284)➡,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.327979,121.104472,260602,2691351
31.0K,雪山西稜,31,SM300,520,310,,,大營地(260)⇨雪山西稜登山口(284)➡,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.328563,121.105093,260665,2691415
31.1K,雪山西稜,31.1,SM300,520,311,,,大營地(260)⇨雪山西稜登山口(284)➡,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.328909,121.105918,260749,2691454
31.2K,雪山西稜,31.2,SM300,520,312,,,大營地(260)⇨雪山西稜登山口(284)➡,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.329458,121.106639,260822,2691515
31.3K,雪山西稜,31.3,SM300,520,313,,,大營地(260)⇨雪山西稜登山口(284)➡,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.329973,121.107357,260895,2691572
31.4K,雪山西稜,31.4,SM300,520,314,,,大營地(260)⇨雪山西稜登山口(284)➡,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.330633,121.107866,260946,2691645
31.5K,雪山西稜,31.5,SM300,520,315,,,大營地(260)⇨雪山西稜登山口(284)➡,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.331031,121.108607,261021,2691689
31.6K,雪山西稜,31.6,SM300,520,316,,,大營地(260)⇨雪山西稜登山口(284)➡,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.330677,121.109423,261104,2691650
31.7K,雪山西稜,31.7,SM300,520,317,,,大營地(260)⇨雪山西稜登山口(284)➡,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.330512,121.110268,261190,2691632
31.8K,雪山西稜,31.8,SM300,520,318,,,大營地(260)⇨雪山西稜登山口(284)➡,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.330245,121.111124,261277,2691602
31.9K,雪山西稜,31.9,SM300,520,319,,,大營地(260)⇨雪山西稜登山口(284)➡,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.329764,121.111839,261349,2691549
32.0K,雪山西稜,32,SM300,520,320,,,大營地(260)⇨雪山西稜登山口(284)➡,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.329165,121.112504,261417,2691483
32.1K,雪山西稜,32.1,SM300,520,321,,,大營地(260)⇨雪山西稜登山口(284)➡,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.329073,121.113317,261500,2691472
匹匹達山/32.2K,雪山西稜,32.2,SM300,520,322,匹匹達山,,大營地(260)⇨雪山西稜登山口(284)➡,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.32881,121.114168,261586,2691443
32.3K,雪山西稜,32.3,SM300,520,323,,,大營地(260)⇨雪山西稜登山口(284)➡,匹匹達東鞍營地(324)⇨大雪山登山口(329),24.329243,121.115152,261686,2691491
匹匹達東鞍營地/32.4K,雪山西稜,32.4,SM300,520,324,匹匹達東鞍營地,,大營地(260)⇨雪山西稜登山口(284)⇨,匹匹達東鞍營地(324)➡大雪山登山口(329),24.329465,121.11625,261797,2691516
32.5K,雪山西稜,32.5,SM300,520,325,,,大營地(260)⇨雪山西稜登山口(284)⇨,匹匹達東鞍營地(324)➡大雪山登山口(329),24.329972,121.117136,261887,2691572
32.6K,雪山西稜,32.6,SM300,520,326,,,大營地(260)⇨雪山西稜登山口(284)⇨,匹匹達東鞍營地(324)➡大雪山登山口(329),24.330531,121.11798,261973,2691634
32.7K,雪山西稜,32.7,SM300,520,327,,,大營地(260)⇨雪山西稜登山口(284)⇨,匹匹達東鞍營地(324)➡大雪山登山口(329),24.330888,121.118908,262067,2691674
32.8K,雪山西稜,32.8,SM300,520,328,,,大營地(260)⇨雪山西稜登山口(284)⇨,匹匹達東鞍營地(324)➡大雪山登山口(329),24.331143,121.119864,262164,2691702
大雪山登山口/32.9K,雪山西稜,32.9,SM300,520,329,大雪山登山口,,大雪山登山口(329)➡奇峻山營地(360)⇨,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.331278,121.120823,262261,2691717
33.0K,雪山西稜,33,SM300,520,330,,,大雪山登山口(329)➡奇峻山營地(360)⇨,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.332032,121.120744,262253,2691801
33.1K,雪山西稜,33.1,SM300,520,331,,,大雪山登山口(329)➡奇峻山營地(360)⇨,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.332871,121.12085,262264,2691894
33.2K,雪山西稜,33.2,SM300,520,332,,,大雪山登山口(329)➡奇峻山營地(360)⇨,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.333744,121.120836,262262,2691990
33.3K,雪山西稜,33.3,SM300,520,333,,,大雪山登山口(329)➡奇峻山營地(360)⇨,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.33458,121.120828,262261,2692083
33.4K,雪山西稜,33.4,SM300,520,334,,,大雪山登山口(329)➡奇峻山營地(360)⇨,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.335268,121.121325,262312,2692159
33.5K,雪山西稜,33.5,SM300,520,335,,,大雪山登山口(329)➡奇峻山營地(360)⇨,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.336131,121.121328,262312,2692255
33.6K,雪山西稜,33.6,SM300,520,336,,,大雪山登山口(329)➡奇峻山營地(360)⇨,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.336966,121.121265,262305,2692347
33.7K,雪山西稜,33.7,SM300,520,337,,,大雪山登山口(329)➡奇峻山營地(360)⇨,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.337806,121.121483,262327,2692440
33.8K,雪山西稜,33.8,SM300,520,338,,,大雪山登山口(329)➡奇峻山營地(360)⇨,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.338584,121.12193,262373,2692527
33.9K,雪山西稜,33.9,SM300,520,339,,,大雪山登山口(329)➡奇峻山營地(360)⇨,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.339356,121.122372,262417,2692612
34.0K,雪山西稜,34,SM300,520,340,,,大雪山登山口(329)➡奇峻山營地(360)⇨,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.34012,121.122847,262466,2692697
34.1K,雪山西稜,34.1,SM300,520,341,,,大雪山登山口(329)➡奇峻山營地(360)⇨,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.340868,121.123321,262514,2692780
34.2K,雪山西稜,34.2,SM300,520,342,,,大雪山登山口(329)➡奇峻山營地(360)⇨,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.341483,121.123994,262582,2692848
大雪山北峰/34.3K/34.3K,雪山西稜,34.3,SM300,520,343,大雪山北峰,,大雪山登山口(329)➡奇峻山營地(360)⇨,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.342092,121.124697,262653,2692915
34.4K,雪山西稜,34.4,SM300,520,344,,,大雪山登山口(329)➡奇峻山營地(360)⇨,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.342537,121.125524,262737,2692965
34.5K,雪山西稜,34.5,SM300,520,345,,,大雪山登山口(329)➡奇峻山營地(360)⇨,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.34311,121.126262,262812,2693028
34.6K,雪山西稜,34.6,SM300,520,346,,,大雪山登山口(329)➡奇峻山營地(360)⇨,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.343868,121.126426,262828,2693112
34.7K,雪山西稜,34.7,SM300,520,347,,,大雪山登山口(329)➡奇峻山營地(360)⇨,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.344597,121.126862,262873,2693193
34.8K,雪山西稜,34.8,SM300,520,348,,,大雪山登山口(329)➡奇峻山營地(360)⇨,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.34492,121.12773,262961,2693229
34.9K,雪山西稜,34.9,SM300,520,349,,,大雪山登山口(329)➡奇峻山營地(360)⇨,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.34531,121.128605,263049,2693272
35.0K,雪山西稜,35,SM300,520,350,,,大雪山登山口(329)➡奇峻山營地(360)⇨,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.346019,121.129209,263111,2693351
35.1K,雪山西稜,35.1,SM300,520,351,,,大雪山登山口(329)➡奇峻山營地(360)⇨,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.346849,121.129563,263146,2693443
35.2K,雪山西稜,35.2,SM300,520,352,,,大雪山登山口(329)➡奇峻山營地(360)⇨,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.347573,121.130118,263203,2693523
35.3K,雪山西稜,35.3,SM300,520,353,,,大雪山登山口(329)➡奇峻山營地(360)⇨,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.348163,121.130653,263257,2693588
35.4K,雪山西稜,35.4,SM300,520,354,,,大雪山登山口(329)➡奇峻山營地(360)⇨,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.349044,121.130709,263262,2693686
35.5K,雪山西稜,35.5,SM300,520,355,,,大雪山登山口(329)➡奇峻山營地(360)⇨,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.349837,121.131192,263311,2693774
森林營地/35.6K,雪山西稜,35.6,SM300,520,356,森林營地,,大雪山登山口(329)➡奇峻山營地(360)⇨,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.350615,121.131506,263343,2693860
35.7K,雪山西稜,35.7,SM300,520,357,,,大雪山登山口(329)➡奇峻山營地(360)⇨,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.351027,121.132338,263427,2693906
35.8K,雪山西稜,35.8,SM300,520,358,,,大雪山登山口(329)➡奇峻山營地(360)⇨,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.351266,121.133177,263513,2693932
奇峻水源/35.9K,雪山西稜,35.9,SM300,520,359,奇峻水源,,大雪山登山口(329)➡奇峻山營地(360)⇨,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.351528,121.134109,263607,2693961
南鞍營地/36.0K,雪山西稜,36,SM300,520,360,奇峻山營地,,大雪山登山口(329)⇨奇峻山營地(360)➡,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.351407,121.135261,263724,2693948
36.1K,雪山西稜,36.1,SM300,520,361,,,大雪山登山口(329)⇨奇峻山營地(360)➡,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.352154,121.135735,263772,2694031
36.2K,雪山西稜,36.2,SM300,520,362,,,大雪山登山口(329)⇨奇峻山營地(360)➡,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.352872,121.136252,263824,2694110
36.3K,雪山西稜,36.3,SM300,520,363,,,大雪山登山口(329)⇨奇峻山營地(360)➡,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.353573,121.136772,263877,2694188
36.4K,雪山西稜,36.4,SM300,520,364,,,大雪山登山口(329)⇨奇峻山營地(360)➡,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.354288,121.137188,263919,2694267
36.5K,雪山西稜,36.5,SM300,520,365,,,大雪山登山口(329)⇨奇峻山營地(360)➡,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.355058,121.137365,263937,2694353
36.6K,雪山西稜,36.6,SM300,520,366,,,大雪山登山口(329)⇨奇峻山營地(360)➡,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.355875,121.137319,263932,2694443
36.7K,雪山西稜,36.7,SM300,520,367,,,大雪山登山口(329)⇨奇峻山營地(360)➡,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.356577,121.137732,263974,2694521
36.8K,雪山西稜,36.8,SM300,520,368,,,大雪山登山口(329)⇨奇峻山營地(360)➡,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.356928,121.138611,264063,2694560
36.9K,雪山西稜,36.9,SM300,520,369,,,大雪山登山口(329)⇨奇峻山營地(360)➡,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.357436,121.139325,264136,2694616
37.0K,雪山西稜,37,SM300,520,370,,,大雪山登山口(329)⇨奇峻山營地(360)➡,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.358228,121.139719,264176,2694704
37.1K,雪山西稜,37.1,SM300,520,371,,,大雪山登山口(329)⇨奇峻山營地(360)➡,頭鷹山(372)⇨弓水營地(396)⇨大南山西鞍營地(406),24.358946,121.140214,264226,2694783
頭鷹山/37.2K,雪山西稜,37.2,SM300,520,372,頭鷹山,,大雪山登山口(329)⇨奇峻山營地(360)⇨,頭鷹山(372)➡弓水營地(396)⇨大南山西鞍營地(406),24.359601,121.140738,264279,2694856
37.3K,雪山西稜,37.3,SM300,520,373,,,大雪山登山口(329)⇨奇峻山營地(360)⇨,頭鷹山(372)➡弓水營地(396)⇨大南山西鞍營地(406),24.359265,121.141501,264356,2694819
37.4K,雪山西稜,37.4,SM300,520,374,,,大雪山登山口(329)⇨奇峻山營地(360)⇨,頭鷹山(372)➡弓水營地(396)⇨大南山西鞍營地(406),24.35916,121.1423,264437,2694807
37.5K,雪山西稜,37.5,SM300,520,375,,,大雪山登山口(329)⇨奇峻山營地(360)⇨,頭鷹山(372)➡弓水營地(396)⇨大南山西鞍營地(406),24.358907,121.142891,264497,2694779
37.6K,雪山西稜,37.6,SM300,520,376,,,大雪山登山口(329)⇨奇峻山營地(360)⇨,頭鷹山(372)➡弓水營地(396)⇨大南山西鞍營地(406),24.358437,121.143382,264547,2694727
37.7K,雪山西稜,37.7,SM300,520,377,,,大雪山登山口(329)⇨奇峻山營地(360)⇨,頭鷹山(372)➡弓水營地(396)⇨大南山西鞍營地(406),24.358056,121.144146,264625,2694685
草原小營地/37.8K,雪山西稜,37.8,SM300,520,378,,,大雪山登山口(329)⇨奇峻山營地(360)⇨,頭鷹山(372)➡弓水營地(396)⇨大南山西鞍營地(406),24.357829,121.144985,264710,2694660
37.9K,雪山西稜,37.9,SM300,520,379,,,大雪山登山口(329)⇨奇峻山營地(360)⇨,頭鷹山(372)➡弓水營地(396)⇨大南山西鞍營地(406),24.357538,121.145774,264790,2694628
