路線名稱,里程(公里),路線編號,總里程,里程,地標名稱,分段第一行,分段第二行,緯度,經度,東距,北距,GPX航點
南玉山線,0.0,YM160,55,0,圓峰山屋,圓峰山屋(00)➡三叉路口(08)⇨,水源(16)⇨小南山登山口(35)⇨南玉山(55),23.456660,120.954850,245387,2594853,南鹿東0.0K
南玉山線,0.1,YM160,55,1,,圓峰山屋(00)➡三叉路口(08)⇨,水源(16)⇨小南山登山口(35)⇨南玉山(55),23.455694,120.955077,245410,2594746,南鹿東0.1K
南玉山線,0.2,YM160,55,2,,圓峰山屋(00)➡三叉路口(08)⇨,水源(16)⇨小南山登山口(35)⇨南玉山(55),23.454723,120.955569,245461,2594638,南鹿東0.2K
南玉山線,0.3,YM160,55,3,,圓峰山屋(00)➡三叉路口(08)⇨,水源(16)⇨小南山登山口(35)⇨南玉山(55),23.453971,120.955628,245467,2594555,南鹿東0.3K
南玉山線,0.4,YM160,55,4,,圓峰山屋(00)➡三叉路口(08)⇨,水源(16)⇨小南山登山口(35)⇨南玉山(55),23.453244,120.955389,245442,2594474,南鹿東0.4K
南玉山線,0.5,YM160,55,5,,圓峰山屋(00)➡三叉路口(08)⇨,水源(16)⇨小南山登山口(35)⇨南玉山(55),23.452530,120.955170,245420,2594395,南鹿東0.5K
南玉山線,0.6,YM160,55,6,,圓峰山屋(00)➡三叉路口(08)⇨,水源(16)⇨小南山登山口(35)⇨南玉山(55),23.451755,120.955238,245427,2594309,南鹿東0.6K
南玉山線,0.7,YM160,55,7,,圓峰山屋(00)➡三叉路口(08)⇨,水源(16)⇨小南山登山口(35)⇨南玉山(55),23.450990,120.955275,245431,2594225,南鹿東0.7K
南玉山線,0.8,YM160,55,8,三叉路口,圓峰山屋(00)⇨三叉路口(08)➡,水源(16)⇨小南山登山口(35)⇨南玉山(55),23.450298,120.955266,245430,2594148,南鹿東0.8K
南玉山線,0.9,YM160,55,9,,圓峰山屋(00)⇨三叉路口(08)➡,水源(16)⇨小南山登山口(35)⇨南玉山(55),23.449580,120.954870,245389,2594069,南0.9K
南玉山線,1.0,YM160,55,10,,圓峰山屋(00)⇨三叉路口(08)➡,水源(16)⇨小南山登山口(35)⇨南玉山(55),23.448873,120.954523,245354,2593990,南1.0K
南玉山線,1.1,YM160,55,11,,圓峰山屋(00)⇨三叉路口(08)➡,水源(16)⇨小南山登山口(35)⇨南玉山(55),23.448209,120.954512,245352,2593917,南1.1K
南玉山線,1.2,YM160,55,12,,圓峰山屋(00)⇨三叉路口(08)➡,水源(16)⇨小南山登山口(35)⇨南玉山(55),23.447756,120.953879,245288,2593867,南1.2K
南玉山線,1.3,YM160,55,13,,圓峰山屋(00)⇨三叉路口(08)➡,水源(16)⇨小南山登山口(35)⇨南玉山(55),23.447309,120.953222,245221,2593817,南1.3K
南玉山線,1.4,YM160,55,14,,圓峰山屋(00)⇨三叉路口(08)➡,水源(16)⇨小南山登山口(35)⇨南玉山(55),23.447145,120.952485,245145,2593799,南1.4K
南玉山線,1.5,YM160,55,15,,圓峰山屋(00)⇨三叉路口(08)➡,水源(16)⇨小南山登山口(35)⇨南玉山(55),23.446780,120.951720,245067,2593759,南1.5K
南玉山線,1.6,YM160,55,16,水源,圓峰山屋(00)⇨三叉路口(08)⇨,水源(16)➡小南山登山口(35)⇨南玉山(55),23.446972,120.950857,244979,2593780,南1.6K
南玉山線,1.7,YM160,55,17,,圓峰山屋(00)⇨三叉路口(08)⇨,水源(16)➡小南山登山口(35)⇨南玉山(55),23.446975,120.949983,244890,2593780,南1.7K
南玉山線,1.8,YM160,55,18,,圓峰山屋(00)⇨三叉路口(08)⇨,水源(16)➡小南山登山口(35)⇨南玉山(55),23.446316,120.949352,244825,2593707,南1.8K
南玉山線,1.9,YM160,55,19,,圓峰山屋(00)⇨三叉路口(08)⇨,水源(16)➡小南山登山口(35)⇨南玉山(55),23.445784,120.948691,244758,2593648,南1.9K
南玉山線,2.0,YM160,55,20,,圓峰山屋(00)⇨三叉路口(08)⇨,水源(16)➡小南山登山口(35)⇨南玉山(55),23.445190,120.947950,244682,2593583,南2.0K
南玉山線,2.1,YM160,55,21,,圓峰山屋(00)⇨三叉路口(08)⇨,水源(16)➡小南山登山口(35)⇨南玉山(55),23.444671,120.947295,244615,2593525,南2.1K
南玉山線,2.2,YM160,55,22,,圓峰山屋(00)⇨三叉路口(08)⇨,水源(16)➡小南山登山口(35)⇨南玉山(55),23.444097,120.946624,244546,2593462,南2.2K
南玉山線,2.3,YM160,55,23,,圓峰山屋(00)⇨三叉路口(08)⇨,水源(16)➡小南山登山口(35)⇨南玉山(55),23.443410,120.946031,244486,2593386,南2.3K
南玉山線,2.4,YM160,55,24,,圓峰山屋(00)⇨三叉路口(08)⇨,水源(16)➡小南山登山口(35)⇨南玉山(55),23.442811,120.945362,244417,2593319,南2.4K
南玉山線,2.5,YM160,55,25,,圓峰山屋(00)⇨三叉路口(08)⇨,水源(16)➡小南山登山口(35)⇨南玉山(55),23.442290,120.944630,244343,2593262,南2.5K
南玉山線,2.6,YM160,55,26,,圓峰山屋(00)⇨三叉路口(08)⇨,水源(16)➡小南山登山口(35)⇨南玉山(55),23.442745,120.943958,244274,2593312,南2.6K
南玉山線,2.7,YM160,55,27,,圓峰山屋(00)⇨三叉路口(08)⇨,水源(16)➡小南山登山口(35)⇨南玉山(55),23.443131,120.943176,244194,2593355,南2.7K
南玉山線,2.8,YM160,55,28,,圓峰山屋(00)⇨三叉路口(08)⇨,水源(16)➡小南山登山口(35)⇨南玉山(55),23.443429,120.942336,244108,2593388,南2.8K
南玉山線,2.9,YM160,55,29,,圓峰山屋(00)⇨三叉路口(08)⇨,水源(16)➡小南山登山口(35)⇨南玉山(55),23.443470,120.941450,244018,2593392,南2.9K
南玉山線,3.0,YM160,55,30,,圓峰山屋(00)⇨三叉路口(08)⇨,水源(16)➡小南山登山口(35)⇨南玉山(55),23.442832,120.940457,243916,2593322,南3.0K
南玉山線,3.1,YM160,55,31,,圓峰山屋(00)⇨三叉路口(08)⇨,水源(16)➡小南山登山口(35)⇨南玉山(55),23.442424,120.939660,243835,2593277,南3.1K
南玉山線,3.2,YM160,55,32,,圓峰山屋(00)⇨三叉路口(08)⇨,水源(16)➡小南山登山口(35)⇨南玉山(55),23.441812,120.938892,243756,2593209,南3.2K
南玉山線,3.3,YM160,55,33,,圓峰山屋(00)⇨三叉路口(08)⇨,水源(16)➡小南山登山口(35)⇨南玉山(55),23.441082,120.938135,243679,2593128,南3.3K
南玉山線,3.4,YM160,55,34,,圓峰山屋(00)⇨三叉路口(08)⇨,水源(16)➡小南山登山口(35)⇨南玉山(55),23.440151,120.937849,243650,2593025,南3.4K
南玉山線,3.5,YM160,55,35,小南山登山口,圓峰山屋(00)⇨三叉路口(08)⇨,水源(16)⇨小南山登山口(35)➡南玉山(55),23.439743,120.936914,243554,2592980,南3.5K
南玉山線,3.6,YM160,55,36,,圓峰山屋(00)⇨三叉路口(08)⇨,水源(16)⇨小南山登山口(35)➡南玉山(55),23.439676,120.936105,243471,2592973,南3.6K
南玉山線,3.7,YM160,55,37,,圓峰山屋(00)⇨三叉路口(08)⇨,水源(16)⇨小南山登山口(35)➡南玉山(55),23.439529,120.935210,243380,2592956,南3.7K
南玉山線,3.8,YM160,55,38,,圓峰山屋(00)⇨三叉路口(08)⇨,水源(16)⇨小南山登山口(35)➡南玉山(55),23.439085,120.934601,243318,2592907,南3.8K
南玉山線,3.9,YM160,55,39,,圓峰山屋(00)⇨三叉路口(08)⇨,水源(16)⇨小南山登山口(35)➡南玉山(55),23.438270,120.934310,243288,2592817,南3.9K
南玉山線,4.0,YM160,55,40,,圓峰山屋(00)⇨三叉路口(08)⇨,水源(16)⇨小南山登山口(35)➡南玉山(55),23.437456,120.934315,243288,2592727,南4.0K
南玉山線,4.1,YM160,55,41,,圓峰山屋(00)⇨三叉路口(08)⇨,水源(16)⇨小南山登山口(35)➡南玉山(55),23.436611,120.933859,243242,2592633,南4.1K
南玉山線,4.2,YM160,55,42,,圓峰山屋(00)⇨三叉路口(08)⇨,水源(16)⇨小南山登山口(35)➡南玉山(55),23.436085,120.933207,243175,2592575,南4.2K
南玉山線,4.3,YM160,55,43,,圓峰山屋(00)⇨三叉路口(08)⇨,水源(16)⇨小南山登山口(35)➡南玉山(55),23.435929,120.932363,243089,2592558,南4.3K
南玉山線,4.4,YM160,55,44,,圓峰山屋(00)⇨三叉路口(08)⇨,水源(16)⇨小南山登山口(35)➡南玉山(55),23.435806,120.931509,243002,2592544,南4.4K
南玉山線,4.5,YM160,55,45,,圓峰山屋(00)⇨三叉路口(08)⇨,水源(16)⇨小南山登山口(35)➡南玉山(55),23.435240,120.930780,242927,2592482,南4.5K
南玉山線,4.6,YM160,55,46,,圓峰山屋(00)⇨三叉路口(08)⇨,水源(16)⇨小南山登山口(35)➡南玉山(55),23.434748,120.929932,242840,2592427,南4.6K
