路線名稱,里程(公里),路線編號,總里程,里程,地標名稱,分段第一行,分段第二行,緯度,經度,東距,北距,GPX航點
東小南鹿山支線,0.0,YM151,8,0,往鹿山岔路,往鹿山岔路(00)➡水源地(06)⇨,往東小南山岔路(08),23.439198,120.962259,246144,2592919,東2.3K/支0.0K
東小南鹿山支線,0.1,YM151,8,1,,往鹿山岔路(00)➡水源地(06)⇨,往東小南山岔路(08),23.439848,120.961735,246090,2592991,支0.1K
東小南鹿山支線,0.2,YM151,8,2,,往鹿山岔路(00)➡水源地(06)⇨,往東小南山岔路(08),23.440521,120.961239,246040,2593065,支0.2K
東小南鹿山支線,0.3,YM151,8,3,,往鹿山岔路(00)➡水源地(06)⇨,往東小南山岔路(08),23.441311,120.961361,246052,2593153,支0.3K
東小南鹿山支線,0.4,YM151,8,4,,往鹿山岔路(00)➡水源地(06)⇨,往東小南山岔路(08),23.442093,120.961081,246023,2593239,支0.4K
東小南鹿山支線,0.5,YM151,8,5,,往鹿山岔路(00)➡水源地(06)⇨,往東小南山岔路(08),23.442766,120.960983,246013,2593314,支0.5K
東小南鹿山支線,0.6,YM151,8,6,水源地,往鹿山岔路(00)⇨水源地(06)➡,往東小南山岔路(08),23.443586,120.961088,246024,2593405,支0.6K
東小南鹿山支線,0.7,YM151,8,7,,往鹿山岔路(00)⇨水源地(06)➡,往東小南山岔路(08),23.444608,120.961559,246072,2593518,支0.7K
東小南鹿山支線,0.8,YM151,8,8,往東小南山岔路,往東小南山岔路(08))➡水源地(06),⇨往鹿山岔路(00),23.445398,120.962203,246138,2593605,鹿2.1K/支0.8K
東小南鹿山支線,0.7,YM151,8,7,,往東小南山岔路(08))➡水源地(06),⇨往鹿山岔路(00),23.444608,120.961559,246072,2593518,支0.7K
東小南鹿山支線,0.6,YM151,8,6,水源地,往東小南山岔路(08))⇨水源地(06),➡往鹿山岔路(00),23.443586,120.961088,246024,2593405,支0.6K
東小南鹿山支線,0.5,YM151,8,5,,往東小南山岔路(08))⇨水源地(06),➡往鹿山岔路(00),23.442766,120.960983,246013,2593314,支0.5K
東小南鹿山支線,0.4,YM151,8,4,,往東小南山岔路(08))⇨水源地(06),➡往鹿山岔路(00),23.442093,120.961081,246023,2593239,支0.4K
東小南鹿山支線,0.3,YM151,8,3,,往東小南山岔路(08))⇨水源地(06),➡往鹿山岔路(00),23.441311,120.961361,246052,2593153,支0.3K
東小南鹿山支線,0.2,YM151,8,2,,往東小南山岔路(08))⇨水源地(06),➡往鹿山岔路(00),23.440521,120.961239,246040,2593065,支0.2K
東小南鹿山支線,0.1,YM151,8,1,,往東小南山岔路(08))⇨水源地(06),➡往鹿山岔路(00),23.439848,120.961735,246090,2592991,支0.1K
東小南鹿山支線,0.0,YM151,8,0,往鹿山岔路,往鹿山岔路(00)➡水源地(06)⇨,往東小南山岔路(08),23.439198,120.962259,246144,2592919,東2.3K/支0.0K
東小南鹿山支線,0.3,YM151,8,3,,往鹿山岔路(00)➡水源地(06)⇨,往東小南山岔路(08),23.441311,120.961361,246052,2593153,支0.3K
東小南鹿山支線,0.6,YM151,8,6,水源地,往鹿山岔路(00)⇨水源地(06)➡,往東小南山岔路(08),23.443586,120.961088,246024,2593405,支0.6K
東小南鹿山支線,0.8,YM151,8,8,往東小南山岔路,往東小南山岔路(08))➡水源地(06),⇨往鹿山岔路(00),23.445398,120.962203,246138,2593605,鹿2.1K/支0.8K
