[路線名稱],[起點],[D1],[終點],[D2],[路線],[編碼],[分段第一行],[分段第二行],[X坐標],[Y坐標],[緯度],[經度],[D3]
西巒大山,登山口,2.7,西巒大山,3.8,XL100,27,登山口(0.0)⇨林道叉路(1.68),➡倒塌瞭望台(3.85)⇨西巒大山(6.5),242511,2622170,23.703327,120.926562,6.5
西巒大山,登山口,2.8,西巒大山,3.7,XL100,28,登山口(0.0)⇨林道叉路(1.68),➡倒塌瞭望台(3.85)⇨西巒大山(6.5),242600,2622204,23.703638,120.927428,6.5
西巒大山,登山口,2.9,西巒大山,3.6,XL100,29,登山口(0.0)⇨林道叉路(1.68),➡倒塌瞭望台(3.85)⇨西巒大山(6.5),242678,2622240,23.703959,120.928198,6.5
西巒大山,登山口,3.0,西巒大山,3.5,XL100,30,登山口(0.0)⇨林道叉路(1.68),➡倒塌瞭望台(3.85)⇨西巒大山(6.5),242748,2622289,23.704407,120.928884,6.5
西巒大山,登山口,3.1,西巒大山,3.4,XL100,31,登山口(0.0)⇨林道叉路(1.68),➡倒塌瞭望台(3.85)⇨西巒大山(6.5),242844,2622287,23.704387,120.929820,6.5
西巒大山,登山口,3.2,西巒大山,3.3,XL100,32,登山口(0.0)⇨林道叉路(1.68),➡倒塌瞭望台(3.85)⇨西巒大山(6.5),242931,2622309,23.704585,120.930675,6.5
西巒大山,登山口,3.3,西巒大山,3.2,XL100,33,登山口(0.0)⇨林道叉路(1.68),➡倒塌瞭望台(3.85)⇨西巒大山(6.5),242976,2622372,23.705157,120.931115,6.5
西巒大山,登山口,3.4,西巒大山,3.1,XL100,34,登山口(0.0)⇨林道叉路(1.68),➡倒塌瞭望台(3.85)⇨西巒大山(6.5),243030,2622418,23.705573,120.931644,6.5
西巒大山,登山口,3.5,西巒大山,3.0,XL100,35,登山口(0.0)⇨林道叉路(1.68),➡倒塌瞭望台(3.85)⇨西巒大山(6.5),243098,2622461,23.705955,120.932314,6.5
西巒大山,登山口,3.6,西巒大山,2.9,XL100,36,登山口(0.0)⇨林道叉路(1.68),➡倒塌瞭望台(3.85)⇨西巒大山(6.5),243172,2622498,23.706290,120.933039,6.5
西巒大山,登山口,3.7,西巒大山,2.8,XL100,37,登山口(0.0)⇨林道叉路(1.68),➡倒塌瞭望台(3.85)⇨西巒大山(6.5),243252,2622511,23.706410,120.933821,6.5
西巒大山,登山口,3.8,西巒大山,2.7,XL100,38,登山口(0.0)⇨林道叉路(1.68),➡倒塌瞭望台(3.85)⇨西巒大山(6.5),243334,2622470,23.706043,120.934632,6.5
西巒大山,登山口,3.9,西巒大山,2.6,XL100,39,登山口(0.0)⇨林道叉路(1.68),⇨倒塌瞭望台(3.85)➡西巒大山(6.5),243426,2622457,23.705921,120.935529,6.5
西巒大山,登山口,4.0,西巒大山,2.5,XL100,40,登山口(0.0)⇨林道叉路(1.68),⇨倒塌瞭望台(3.85)➡西巒大山(6.5),243507,2622425,23.705631,120.936325,6.5
西巒大山,登山口,4.1,西巒大山,2.4,XL100,41,登山口(0.0)⇨林道叉路(1.68),⇨倒塌瞭望台(3.85)➡西巒大山(6.5),243565,2622355,23.705002,120.936892,6.5
西巒大山,登山口,4.2,西巒大山,2.3,XL100,42,登山口(0.0)⇨林道叉路(1.68),⇨倒塌瞭望台(3.85)➡西巒大山(6.5),243585,2622272,23.704253,120.937095,6.5
西巒大山,登山口,4.3,西巒大山,2.2,XL100,43,登山口(0.0)⇨林道叉路(1.68),⇨倒塌瞭望台(3.85)➡西巒大山(6.5),243650,2622242,23.703982,120.937731,6.5
西巒大山,登山口,4.4,西巒大山,2.1,XL100,44,登山口(0.0)⇨林道叉路(1.68),⇨倒塌瞭望台(3.85)➡西巒大山(6.5),243718,2622210,23.703690,120.938394,6.5
西巒大山,登山口,4.5,西巒大山,2.0,XL100,45,登山口(0.0)⇨林道叉路(1.68),⇨倒塌瞭望台(3.85)➡西巒大山(6.5),243709,2622136,23.703026,120.938307,6.5
西巒大山,登山口,4.6,西巒大山,1.9,XL100,46,登山口(0.0)⇨林道叉路(1.68),⇨倒塌瞭望台(3.85)➡西巒大山(6.5),243733,2622069,23.702422,120.938544,6.5
西巒大山,登山口,4.7,西巒大山,1.8,XL100,47,登山口(0.0)⇨林道叉路(1.68),⇨倒塌瞭望台(3.85)➡西巒大山(6.5),243731,2621992,23.701726,120.938525,6.5
西巒大山,登山口,4.8,西巒大山,1.7,XL100,48,登山口(0.0)⇨林道叉路(1.68),⇨倒塌瞭望台(3.85)➡西巒大山(6.5),243716,2621934,23.701201,120.938382,6.5
西巒大山,登山口,4.9,西巒大山,1.6,XL100,49,登山口(0.0)⇨林道叉路(1.68),⇨倒塌瞭望台(3.85)➡西巒大山(6.5),243781,2621891,23.700811,120.939018,6.5
西巒大山,登山口,5.0,西巒大山,1.5,XL100,50,登山口(0.0)⇨林道叉路(1.68),⇨倒塌瞭望台(3.85)➡西巒大山(6.5),243838,2621837,23.700328,120.939570,6.5
西巒大山,登山口,5.1,西巒大山,1.4,XL100,51,登山口(0.0)⇨林道叉路(1.68),⇨倒塌瞭望台(3.85)➡西巒大山(6.5),243905,2621814,23.700117,120.940231,6.5
西巒大山,登山口,5.2,西巒大山,1.3,XL100,52,登山口(0.0)⇨林道叉路(1.68),⇨倒塌瞭望台(3.85)➡西巒大山(6.5),243956,2621770,23.699720,120.940735,6.5
西巒大山,登山口,5.3,西巒大山,1.2,XL100,53,登山口(0.0)⇨林道叉路(1.68),⇨倒塌瞭望台(3.85)➡西巒大山(6.5),243991,2621741,23.699458,120.941075,6.5
西巒大山,登山口,5.4,西巒大山,1.1,XL100,54,登山口(0.0)⇨林道叉路(1.68),⇨倒塌瞭望台(3.85)➡西巒大山(6.5),244031,2621661,23.698741,120.941465,6.5
